DOY;Year;Hour;Label
95;2021;23;19.49
96;2021;0;19.49
96;2021;1;19.49
96;2021;2;19.49
96;2021;3;19.49
96;2021;4;19.49
96;2021;5;19.49
96;2021;6;19.49
96;2021;7;19.49
96;2021;8;19.49
96;2021;9;19.49
96;2021;10;19.49
96;2021;11;19.49
96;2021;12;19.49
96;2021;13;19.49
96;2021;14;19.49
96;2021;15;19.49
96;2021;16;19.49
96;2021;17;19.49
96;2021;18;19.49
96;2021;19;19.49
96;2021;20;19.49
96;2021;21;19.49
96;2021;22;19.49
96;2021;23;19.49
97;2021;0;19.49
97;2021;1;19.49
97;2021;2;19.49
97;2021;3;19.49
97;2021;4;19.49
97;2021;5;19.49
97;2021;6;19.49
97;2021;7;19.49
97;2021;8;19.49
97;2021;9;19.49
97;2021;10;19.49
97;2021;11;19.49
97;2021;12;19.49
97;2021;13;19.49
97;2021;14;19.49
97;2021;15;19.49
97;2021;16;19.49
97;2021;17;19.49
97;2021;18;19.49
97;2021;19;19.49
97;2021;20;19.49
97;2021;21;19.49
97;2021;22;19.49
97;2021;23;19.49
98;2021;0;19.49
98;2021;1;19.49
98;2021;2;19.49
98;2021;3;19.49
98;2021;4;19.49
98;2021;5;19.49
98;2021;6;19.49
98;2021;7;19.49
98;2021;8;19.49
98;2021;9;19.49
98;2021;10;19.49
98;2021;11;19.49
98;2021;12;19.49
98;2021;13;19.49
98;2021;14;19.49
98;2021;15;19.49
98;2021;16;19.49
98;2021;17;19.49
98;2021;18;19.49
98;2021;19;19.49
98;2021;20;19.49
98;2021;21;19.49
98;2021;22;19.49
98;2021;23;19.49
99;2021;0;19.49
99;2021;1;19.49
99;2021;2;19.49
99;2021;3;19.49
99;2021;4;19.49
99;2021;5;19.49
99;2021;6;19.49
99;2021;7;19.49
99;2021;8;19.49
99;2021;9;19.49
99;2021;10;19.49
99;2021;11;19.49
99;2021;12;19.49
99;2021;13;19.49
99;2021;14;19.49
99;2021;15;19.49
99;2021;16;19.49
99;2021;17;19.49
99;2021;18;19.49
99;2021;19;19.49
99;2021;20;19.49
99;2021;21;19.49
99;2021;22;19.49
99;2021;23;19.49
100;2021;0;19.49
100;2021;1;19.49
100;2021;2;19.49
100;2021;3;19.49
100;2021;4;19.49
100;2021;5;19.49
100;2021;6;19.49
100;2021;7;19.49
100;2021;8;19.49
100;2021;9;19.49
100;2021;10;19.49
100;2021;11;19.49
100;2021;12;19.49
100;2021;13;19.49
100;2021;14;19.49
100;2021;15;19.49
100;2021;16;19.49
100;2021;17;19.49
100;2021;18;19.49
100;2021;19;19.49
100;2021;20;19.49
100;2021;21;19.49
100;2021;22;19.49
100;2021;23;19.49
101;2021;0;19.49
101;2021;1;19.49
101;2021;2;19.49
101;2021;3;19.49
101;2021;4;19.49
101;2021;5;19.49
101;2021;6;19.49
101;2021;7;19.49
101;2021;8;19.49
101;2021;9;19.49
101;2021;10;19.49
101;2021;11;19.49
101;2021;12;19.49
101;2021;13;19.49
101;2021;14;19.49
101;2021;15;19.49
101;2021;16;19.49
101;2021;17;19.49
101;2021;18;19.49
101;2021;19;19.49
101;2021;20;19.49
101;2021;21;19.49
101;2021;22;19.49
101;2021;23;19.49
102;2021;0;19.49
102;2021;1;19.49
102;2021;2;19.49
102;2021;3;19.49
102;2021;4;19.49
102;2021;5;19.49
102;2021;6;19.49
102;2021;7;19.49
102;2021;8;19.49
102;2021;9;19.49
102;2021;10;19.49
102;2021;11;19.49
102;2021;12;19.49
102;2021;13;19.49
102;2021;14;19.49
102;2021;15;19.49
102;2021;16;19.49
102;2021;17;19.49
102;2021;18;19.49
102;2021;19;19.49
102;2021;20;19.49
102;2021;21;19.49
102;2021;22;19.49
102;2021;23;19.49
103;2021;0;19.49
103;2021;1;19.49
103;2021;2;19.49
103;2021;3;19.49
103;2021;4;19.49
103;2021;5;19.49
103;2021;6;19.49
103;2021;7;19.49
103;2021;8;19.49
103;2021;9;19.49
103;2021;10;19.49
103;2021;11;19.49
103;2021;12;19.49
103;2021;13;19.49
103;2021;14;19.49
103;2021;15;19.49
103;2021;16;19.49
103;2021;17;19.49
103;2021;18;19.49
103;2021;19;19.49
103;2021;20;19.49
103;2021;21;19.49
103;2021;22;19.49
103;2021;23;19.49
104;2021;0;19.49
104;2021;1;19.49
104;2021;2;19.49
104;2021;3;19.49
104;2021;4;19.49
104;2021;5;19.49
104;2021;6;19.49
104;2021;7;19.49
104;2021;8;19.49
104;2021;9;19.49
104;2021;10;19.49
104;2021;11;19.49
104;2021;12;19.49
104;2021;13;19.49
104;2021;14;19.49
104;2021;15;19.49
104;2021;16;19.49
104;2021;17;19.49
104;2021;18;19.49
104;2021;19;19.49
104;2021;20;19.49
104;2021;21;19.49
104;2021;22;19.49
104;2021;23;19.49
105;2021;0;19.49
105;2021;1;19.49
105;2021;2;19.49
105;2021;3;19.49
105;2021;4;19.49
105;2021;5;19.49
105;2021;6;19.49
105;2021;7;19.49
105;2021;8;19.49
105;2021;9;19.49
105;2021;10;19.49
105;2021;11;19.49
105;2021;12;19.49
105;2021;13;19.49
105;2021;14;19.49
105;2021;15;19.49
105;2021;16;19.49
105;2021;17;19.49
105;2021;18;19.49
105;2021;19;19.49
105;2021;20;19.49
105;2021;21;19.49
105;2021;22;19.49
105;2021;23;19.49
106;2021;0;19.49
106;2021;1;19.49
106;2021;2;19.49
106;2021;3;19.49
106;2021;4;19.49
106;2021;5;19.49
106;2021;6;19.49
106;2021;7;19.49
106;2021;8;19.49
106;2021;9;19.49
106;2021;10;19.49
106;2021;11;19.49
106;2021;12;19.49
106;2021;13;19.49
106;2021;14;19.49
106;2021;15;19.49
106;2021;16;19.49
106;2021;17;19.49
106;2021;18;19.49
106;2021;19;19.49
106;2021;20;19.49
106;2021;21;19.49
106;2021;22;19.49
106;2021;23;19.49
107;2021;0;19.49
107;2021;1;19.49
107;2021;2;19.49
107;2021;3;19.49
107;2021;4;19.49
107;2021;5;19.49
107;2021;6;19.49
107;2021;7;19.49
107;2021;8;19.49
107;2021;9;19.49
107;2021;10;19.49
107;2021;11;19.49
107;2021;12;19.49
107;2021;13;19.49
107;2021;14;19.49
107;2021;15;19.49
107;2021;16;19.49
107;2021;17;19.49
107;2021;18;19.49
107;2021;19;19.49
107;2021;20;19.49
107;2021;21;19.49
107;2021;22;19.49
107;2021;23;19.49
108;2021;0;19.49
108;2021;1;19.49
108;2021;2;19.49
108;2021;3;19.49
108;2021;4;19.49
108;2021;5;19.49
108;2021;6;19.49
108;2021;7;19.49
108;2021;8;19.49
108;2021;9;19.49
108;2021;10;19.49
108;2021;11;19.49
108;2021;12;19.49
108;2021;13;19.49
108;2021;14;19.49
108;2021;15;19.49
108;2021;16;19.49
108;2021;17;19.49
108;2021;18;19.49
108;2021;19;19.49
108;2021;20;19.49
108;2021;21;19.49
108;2021;22;19.49
108;2021;23;19.49
109;2021;0;19.49
109;2021;1;19.49
109;2021;2;19.49
109;2021;3;19.49
109;2021;4;19.49
109;2021;5;19.49
109;2021;6;19.49
109;2021;7;19.49
109;2021;8;19.49
109;2021;9;19.49
109;2021;10;19.49
109;2021;11;19.49
109;2021;12;19.49
109;2021;13;19.49
109;2021;14;19.49
109;2021;15;19.49
109;2021;16;19.49
109;2021;17;19.49
109;2021;18;19.49
109;2021;19;19.49
109;2021;20;19.49
109;2021;21;19.49
109;2021;22;19.49
109;2021;23;19.49
110;2021;0;19.49
110;2021;1;19.49
110;2021;2;19.49
110;2021;3;19.49
110;2021;4;19.49
110;2021;5;19.49
110;2021;6;19.49
110;2021;7;19.49
110;2021;8;19.49
110;2021;9;19.49
110;2021;10;19.49
110;2021;11;19.49
110;2021;12;19.49
110;2021;13;19.49
110;2021;14;19.49
110;2021;15;19.49
110;2021;16;19.49
110;2021;17;19.49
110;2021;18;19.49
110;2021;19;19.49
110;2021;20;19.49
110;2021;21;19.49
110;2021;22;19.49
110;2021;23;19.49
111;2021;0;19.49
111;2021;1;19.49
111;2021;2;19.49
111;2021;3;19.49
111;2021;4;19.49
111;2021;5;19.49
111;2021;6;19.49
111;2021;7;19.49
111;2021;8;19.49
111;2021;9;19.49
111;2021;10;19.49
111;2021;11;19.49
111;2021;12;19.49
111;2021;13;19.49
111;2021;14;19.49
111;2021;15;19.49
111;2021;16;19.49
111;2021;17;19.49
111;2021;18;19.49
111;2021;19;19.49
111;2021;20;19.49
111;2021;21;19.49
111;2021;22;19.49
111;2021;23;19.49
112;2021;0;19.49
112;2021;1;19.49
112;2021;2;19.49
112;2021;3;19.49
112;2021;4;19.49
112;2021;5;19.49
112;2021;6;19.49
112;2021;7;19.49
112;2021;8;19.49
112;2021;9;19.49
112;2021;10;19.49
112;2021;11;19.49
112;2021;12;19.49
112;2021;13;19.49
112;2021;14;19.49
112;2021;15;19.49
112;2021;16;19.49
112;2021;17;19.49
112;2021;18;19.49
112;2021;19;19.49
112;2021;20;19.49
112;2021;21;19.49
112;2021;22;19.49
112;2021;23;19.49
113;2021;0;19.49
113;2021;1;19.49
113;2021;2;19.49
113;2021;3;19.49
113;2021;4;19.49
113;2021;5;19.49
113;2021;6;19.49
113;2021;7;19.49
113;2021;8;19.49
113;2021;9;19.49
113;2021;10;19.49
113;2021;11;19.49
113;2021;12;19.49
113;2021;13;19.49
113;2021;14;19.49
113;2021;15;19.49
113;2021;16;19.49
113;2021;17;19.49
113;2021;18;19.49
113;2021;19;19.49
113;2021;20;19.49
113;2021;21;19.49
113;2021;22;19.49
113;2021;23;19.49
114;2021;0;19.49
114;2021;1;19.49
114;2021;2;19.49
114;2021;3;19.49
114;2021;4;19.49
114;2021;5;19.49
114;2021;6;19.49
114;2021;7;19.49
114;2021;8;19.49
114;2021;9;19.49
114;2021;10;19.49
114;2021;11;19.49
114;2021;12;19.49
114;2021;13;19.49
114;2021;14;19.49
114;2021;15;19.49
114;2021;16;19.49
114;2021;17;19.49
114;2021;18;19.49
114;2021;19;19.49
114;2021;20;19.49
114;2021;21;19.49
114;2021;22;19.49
114;2021;23;19.49
115;2021;0;19.49
115;2021;1;19.49
115;2021;2;19.49
115;2021;3;19.49
115;2021;4;19.49
115;2021;5;19.49
115;2021;6;19.49
115;2021;7;19.49
115;2021;8;19.49
115;2021;9;19.49
115;2021;10;19.49
115;2021;11;19.49
115;2021;12;19.49
115;2021;13;19.49
115;2021;14;19.49
115;2021;15;19.49
115;2021;16;19.49
115;2021;17;19.49
115;2021;18;19.49
115;2021;19;19.49
115;2021;20;19.49
115;2021;21;19.49
115;2021;22;19.49
115;2021;23;19.49
116;2021;0;19.49
116;2021;1;19.49
116;2021;2;19.49
116;2021;3;19.49
116;2021;4;19.49
116;2021;5;19.49
116;2021;6;19.49
116;2021;7;19.49
116;2021;8;19.49
116;2021;9;19.49
116;2021;10;19.49
116;2021;11;19.49
116;2021;12;19.49
116;2021;13;19.49
116;2021;14;19.49
116;2021;15;19.49
116;2021;16;19.49
116;2021;17;19.49
116;2021;18;19.49
116;2021;19;19.49
116;2021;20;19.49
116;2021;21;19.49
116;2021;22;19.49
116;2021;23;19.49
117;2021;0;19.49
117;2021;1;19.49
117;2021;2;19.49
117;2021;3;19.49
117;2021;4;19.49
117;2021;5;19.49
117;2021;6;19.49
117;2021;7;19.49
117;2021;8;19.49
117;2021;9;19.49
117;2021;10;19.49
117;2021;11;19.49
117;2021;12;19.49
117;2021;13;19.49
117;2021;14;19.49
117;2021;15;19.49
117;2021;16;19.49
117;2021;17;19.49
117;2021;18;19.49
117;2021;19;19.49
117;2021;20;19.49
117;2021;21;19.49
117;2021;22;19.49
117;2021;23;19.49
118;2021;0;19.49
118;2021;1;19.49
118;2021;2;19.49
118;2021;3;19.49
118;2021;4;19.49
118;2021;5;19.49
118;2021;6;19.49
118;2021;7;19.49
118;2021;8;19.49
118;2021;9;19.49
118;2021;10;19.49
118;2021;11;19.49
118;2021;12;19.49
118;2021;13;19.49
118;2021;14;19.49
118;2021;15;19.49
118;2021;16;19.49
118;2021;17;19.49
118;2021;18;19.49
118;2021;19;19.49
118;2021;20;19.49
118;2021;21;19.49
118;2021;22;19.49
118;2021;23;19.49
119;2021;0;19.91
119;2021;1;29.54
119;2021;2;40.895
119;2021;3;50.2
119;2021;4;58.85
119;2021;5;65.975
119;2021;6;69.605
119;2021;7;73.015
119;2021;8;74.2
119;2021;9;74.53
119;2021;10;74.53
119;2021;11;74.53
119;2021;12;74.53
119;2021;13;74.53
119;2021;14;74.53
119;2021;15;74.53
119;2021;16;74.53
119;2021;17;74.53
119;2021;18;74.53
119;2021;19;74.53
119;2021;20;74.53
119;2021;21;74.53
119;2021;22;74.53
119;2021;23;74.53
120;2021;0;74.53
120;2021;1;74.53
120;2021;2;74.53
120;2021;3;74.53
120;2021;4;74.53
120;2021;5;74.53
120;2021;6;74.53
120;2021;7;74.53
120;2021;8;74.53
120;2021;9;74.53
120;2021;10;74.53
120;2021;11;74.53
120;2021;12;74.53
120;2021;13;74.53
120;2021;14;74.53
120;2021;15;74.53
120;2021;16;74.53
120;2021;17;74.53
120;2021;18;74.53
120;2021;19;74.53
120;2021;20;74.53
120;2021;21;74.53
120;2021;22;74.53
120;2021;23;74.53
121;2021;0;74.53
121;2021;1;74.53
121;2021;2;74.53
121;2021;3;74.53
121;2021;4;74.53
121;2021;5;74.53
